text,label
Your account has been temporarily locked. Click the link to verify your identity.,phishing
Unusual sign-in attempt detected on your account. Reset your password immediately.,phishing
Final notice: your billing information is outdated. Update it now to avoid suspension.,phishing
We detected suspicious activity. Confirm your details to restore full access.,phishing
Important: Your mailbox is almost full. Click here to increase storage.,phishing
Payment failed: download the attached invoice and submit your details.,phishing
Congratulations! You have won a crypto giveaway. Claim 0.5 BTC within 24 hours.,phishing
Security alert: we couldn't verify your payment method. Re-enter your card info.,phishing
Update required: new security policy. Sign in to keep your account active.,phishing
Your package is on hold due to an address issue. Provide your information to deliver.,phishing
Verify your email ownership to prevent permanent deletion of your account.,phishing
Urgent action required: confirm your login within 12 hours to avoid lockout.,phishing
Hey! Just checking if you can make it to study group at 4pm today.,legit
Reminder: calculus homework due Friday. Bring printed solutions to class.,legit
Here are the meeting notes from today. Let me know if I missed anything.,legit
Thanks for your help on the project—your script worked perfectly.,legit
Receipt for your lunch order at Campus Cafe. Total: $12.45. Thanks!,legit
Coach moved practice to 6pm tomorrow at the main gym.,legit
Sharing the slides from the club presentation. Great job on Q&A!,legit
Family dinner on Sunday at 6pm. Can you bring dessert?,legit
Your appointment is confirmed for Tuesday at 10:30. Reply if you need to reschedule.,legit
Here's the reading list for next week—chapters 4 and 5 only.,legit
Thanks for the heads-up about the schedule change. See you after class.,legit
Shipping confirmation: your book order has been mailed. Tracking will follow.,legit
Your account has been compromised. Click here to reset.,phishing
Hey just wanted to confirm our lunch plans!,legit
Update your billing information immediately to avoid suspension.,phishing
See you tomorrow for the project meeting.,legit

